Count,Name,AN,AN-ANTA,AN-SL,FLOOR,HND,L.TOT,N°,N00,N01,OFFICE,TIP.COM,TIPO_PARETE,L.TOT.,L1,L2,L3,L4,L5,LV.0,LV.0_MANO,LV.0_NOTE,LV.1,LV.1_MANO,LV.1_NOTE,LV.2,LV.2_MANO,LV.2_NOTE,LV.3,LV.3_MANO,LV.3_NOTE,LV.4,LV.4_MANO,LV.4_NOTE,LV.5,LV.5_MANO,LV.5_NOTE,LV.6,LV.6_MANO,LV.6_NOTE,TAGLI
1,PF-CODIFICA-BLOCCO VERTICALI-R01,2864,.,.,14-HDL-03,SX,.,V152,.,.,EL10,M1,2G(1SW),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PF-CODIFICA-BLOCCO VERTICALI-R01,2864,.,.,14-CON-02,DX,.,V153,.,.,EL1,M1,2G(1SW),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PF-CODIFICA-BLOCCO VERTICALI-R01,2864,.,.,14-HDL-02,SX,.,V152,.,.,EL9,M1,2G(1SW),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PF-CODIFICA-BLOCCO VERTICALI-R01,.,2864,.,14-CON-02,SX,1000,P101-SW,H MANIGLIA DA TERRA: 965,.,EL1,HG,2G(1SW),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PF-CODIFICA-BLOCCO VERTICALI-R01,.,2864,.,14-CON-02,SX,.,V076,.,.,EL1,CSP-C,2G(1SW),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PF-CODIFICA-BLOCCO VERTICALI-R01,.,2864,.,14-CON-01,DX,.,V079,H MANIGLIA DA TERRA: 965,.,EL2,CSP-B,2G(1SW),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PF-CODIFICA-BLOCCO VERTICALI-R01,.,2864,.,14-CON-01,DX,1000,P101-SW,H MANIGLIA DA TERRA: 965,.,EL2,HG,2G(1SW),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PF-CODIFICA-BLOCCO VERTICALI-R01,.,2864,.,14-CON-01,DX,.,V078,.,.,EL2,CSP-C,2G(1SW),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PF-CODIFICA-BLOCCO VERTICALI-R01,2864,.,.,14-CON-02,.,.,V149,.,.,EL1,M1+IRR,2G(1SW),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PF-CODIFICA-BLOCCO VERTICALI-R01,2864,.,.,14-CON-01,.,.,V149,.,.,EL2,M1+IRR,2G(1SW),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PF-CODIFICA-BLOCCO VERTICALI-R01,2864,.,.,14-CON-02,.,.,V149,.,.,EL1,M1+IRR,2G(1SW),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PF-CODIFICA-BLOCCO VERTICALI-R01,.,2864,.,14-CON-02,SX,.,V077,H MANIGLIA DA TERRA: 965,.,EL1,CSP-B,2G(1SW),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PF-CODIFICA-BLOCCO VERTICALI-R01,2864,.,.,14-CON-02,.,.,V149,.,.,EL1,M1+IRR,2G(1SW),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PF-CODIFICA-BLOCCO VERTICALI-R01,.,2864,.,14-HDL-02,SX,.,V077,H MANIGLIA DA TERRA: 965,.,EL10,CSP-B,2G(1SW),,,,,,,,,,,,,,,,,,,,,,,,,,,,
